Customer_ID,Age_of_Buyer,Type_of_City,Average_Order_Value,Recent_Action,Time_Spent_on_App_per_Day_minutes,Email,Most_Active_Time_of_User,Recency_days,Frequency_purchases,Monetary_spend,Email_Open_Rate,Push_CTR,Coupon_Redemption_Rate,Chat_Engagement_Rate,Top_Category,Primary_Device,Locale,CLTV,Pages_per_Session,Avg_Session_Duration_min,Product_Views,Discount_Threshold_percent,Churn_Risk,Marketing_Suggestion
CUST_100035,21,Tier 3,4335,not adding to cart,34,customer35@example.com,7:00 AM - 11:00 PM,212,4,6246,0.518,0.623,0.498,0.442,Electronics,Mobile,es_ES,2768.64,18.6,9.3,8,5,0.029,Browsing Behavior Email
CUST_100036,56,Tier 2,2794,not adding to cart,146,customer36@example.com,1:00 PM - 2:00 AM,59,30,3949,0.648,0.154,0.933,0.292,Beauty,Desktop,fr_FR,4181.88,19.6,5.6,9,10,0.384,First Purchase Discount
CUST_100037,54,Tier 2,1343,not adding to cart,111,customer37@example.com,6:00 PM - 1:00 PM,153,38,19102,0.999,0.49,0.149,0.539,Home & Kitchen,Desktop,de_DE,3826.22,8.2,18.7,4,30,0.239,Personalized Email Recommendations
CUST_100038,40,Tier 2,6930,cart abandonment,86,customer38@example.com,12:00 PM - 12:00 PM,198,43,5084,0.495,0.037,0.502,0.59,Electronics,Desktop,en_US,2653.46,9.7,14.7,7,30,0.97,Abandoned Cart Email
CUST_100039,20,Tier 4,4542,not adding to cart,164,customer39@example.com,12:00 PM - 11:00 AM,169,44,17585,0.38,0.317,0.719,0.759,Sports,Mobile,de_DE,388.68,13.0,18.5,4,30,0.09,First Purchase Discount
CUST_100040,22,Tier 1,7469,not visiting the app,81,customer40@example.com,1:00 AM - 6:00 AM,151,23,12382,0.431,0.244,0.412,0.682,Fashion,Mobile,en_GB,440.89,17.5,12.8,4,20,0.913,Win-back Campaign
CUST_100041,25,Tier 2,7755,not adding to cart,122,customer41@example.com,5:00 AM - 8:00 PM,347,35,5276,0.074,0.945,0.988,0.299,Health,Tablet,es_ES,2311.34,6.7,20.0,8,5,0.237,Product Suggestion Push
CUST_100042,52,Tier 3,9617,not adding to cart,80,customer42@example.com,1:00 PM - 5:00 AM,290,44,1707,0.911,0.745,0.833,0.903,Fashion,Tablet,es_ES,1134.07,4.6,5.8,3,30,0.097,Personalized Email Recommendations
CUST_100043,56,Tier 1,5261,wrote a bad review,13,customer43@example.com,10:00 PM - 12:00 AM,47,19,10805,0.747,0.176,0.132,0.539,Home & Kitchen,Tablet,de_DE,4571.76,16.8,5.9,8,15,0.747,Manager Follow-up Call
CUST_100044,37,Tier 1,7873,cart abandonment,41,customer44@example.com,4:00 PM - 9:00 PM,47,26,556,0.264,0.124,0.369,0.749,Home & Kitchen,Tablet,fr_FR,4120.97,18.9,3.1,4,20,0.025,Abandoned Cart Email
CUST_100045,51,Tier 3,3826,cart abandonment,167,customer45@example.com,8:00 PM - 11:00 PM,60,9,1585,0.946,0.304,0.493,0.097,Sports,Mobile,fr_FR,2295.54,13.7,15.1,9,20,0.587,Abandoned Cart Email
CUST_100046,25,Tier 4,1822,wrote a bad review,162,customer46@example.com,7:00 PM - 1:00 PM,112,29,14671,0.951,0.855,0.099,0.686,Sports,Tablet,es_ES,349.72,6.2,19.4,8,5,0.663,Feedback Email Survey
CUST_100047,57,Tier 1,1028,not adding to cart,67,customer47@example.com,3:00 AM - 2:00 AM,301,14,7734,0.329,0.148,0.901,0.003,Fashion,Mobile,de_DE,1290.74,4.3,13.6,1,10,0.015,First Purchase Discount
CUST_100048,31,Tier 3,458,not visiting the app,72,customer48@example.com,1:00 AM - 12:00 PM,270,8,2182,0.476,0.778,0.513,0.109,Sports,Mobile,de_DE,264.66,15.9,17.5,9,15,0.458,Re-engagement Push
CUST_100049,17,Tier 1,8047,wrote a bad review,114,customer49@example.com,11:00 AM - 8:00 PM,38,6,10654,0.608,0.066,0.275,0.633,Sports,Tablet,es_ES,1935.48,12.4,6.6,9,25,0.43,Feedback Email Survey
CUST_100050,23,Tier 2,7246,wrote a bad review,63,customer50@example.com,7:00 PM - 8:00 PM,213,47,3215,0.313,0.313,0.255,0.954,Beauty,Desktop,en_US,501.56,2.6,9.2,6,10,0.556,Proactive Chat Support
CUST_100051,53,Tier 3,2202,wrote a bad review,95,customer51@example.com,11:00 PM - 12:00 AM,148,39,10338,0.352,0.578,0.213,0.657,Fashion,Mobile,es_ES,4234.6,8.0,15.5,10,10,0.807,VIP Retention Call
CUST_100052,51,Tier 1,4581,cart abandonment,51,customer52@example.com,5:00 PM - 6:00 PM,4,12,4794,0.566,0.401,0.142,0.633,Electronics,Mobile,de_DE,1114.91,9.0,7.5,6,15,0.722,Abandoned Cart Email
CUST_100053,52,Tier 1,1061,not visiting the app,45,customer53@example.com,10:00 AM - 11:00 AM,140,29,13994,0.486,0.442,0.273,0.755,Electronics,Desktop,fr_FR,598.9,13.9,12.3,9,30,0.308,SMS Reactivation
CUST_100054,30,Tier 4,1097,cart abandonment,57,customer54@example.com,5:00 AM - 3:00 PM,149,21,4031,0.008,0.747,0.176,0.38,Beauty,Mobile,de_DE,2815.68,13.7,7.7,7,30,0.042,Push Notification Reminder
CUST_100055,17,Tier 4,1475,not adding to cart,152,customer55@example.com,7:00 PM - 12:00 PM,149,8,13372,0.021,0.325,0.801,0.618,Beauty,Desktop,en_US,2211.72,3.0,9.3,7,25,0.079,First Purchase Discount
CUST_100056,35,Tier 3,3830,not adding to cart,48,customer56@example.com,2:00 AM - 9:00 AM,179,23,4939,0.236,0.146,0.197,0.602,Beauty,Mobile,en_GB,4758.9,12.9,9.8,10,25,0.449,Browsing Behavior Email
CUST_100057,52,Tier 3,5379,not visiting the app,117,customer57@example.com,2:00 PM - 8:00 PM,141,38,1940,0.352,0.074,0.462,0.038,Home & Kitchen,Desktop,en_US,3241.1,19.6,2.7,10,25,0.384,SMS Reactivation
CUST_100058,53,Tier 1,7568,not visiting the app,87,customer58@example.com,10:00 PM - 9:00 AM,32,29,3491,0.811,0.837,0.982,0.084,Beauty,Mobile,en_US,1276.33,9.3,9.3,9,25,0.159,Re-engagement Push
CUST_100059,39,Tier 3,6547,wrote a bad review,91,customer59@example.com,11:00 AM - 11:00 PM,34,22,3196,0.558,0.387,0.252,0.852,Sports,Mobile,es_ES,453.43,13.6,18.4,5,30,0.698,Proactive Chat Support
CUST_100060,41,Tier 2,9949,cart abandonment,84,customer60@example.com,9:00 PM - 11:00 PM,66,43,17348,0.093,0.67,0.508,0.018,Home & Kitchen,Mobile,en_GB,1741.58,15.6,4.6,3,10,0.077,Push Notification Reminder
CUST_100061,22,Tier 1,5717,not visiting the app,157,customer61@example.com,7:00 AM - 3:00 AM,355,50,5524,0.721,0.044,0.364,0.72,Health,Tablet,es_ES,3774.34,15.9,5.4,4,15,0.966,Win-back Campaign
CUST_100062,46,Tier 2,6226,wrote a bad review,123,customer62@example.com,5:00 PM - 9:00 PM,83,13,19913,0.138,0.25,0.641,0.874,Sports,Mobile,de_DE,4263.27,6.4,15.5,5,20,0.905,Proactive Chat Support
CUST_100063,25,Tier 4,1702,not visiting the app,120,customer63@example.com,6:00 AM - 7:00 AM,203,33,12353,0.236,0.995,0.375,0.028,Electronics,Tablet,es_ES,3967.33,3.6,6.5,8,30,0.831,Win-back Campaign
CUST_100064,46,Tier 4,286,cart abandonment,9,customer64@example.com,5:00 AM - 3:00 PM,57,50,9540,0.238,0.122,0.238,0.639,Sports,Desktop,en_US,598.75,18.2,12.3,1,30,0.515,Abandoned Cart Email
CUST_100065,31,Tier 2,4972,wrote a bad review,5,customer65@example.com,10:00 PM - 4:00 PM,96,43,2905,0.523,0.361,0.953,0.544,Sports,Tablet,en_US,1982.75,9.9,13.1,6,15,0.747,Feedback Email Survey
CUST_100066,38,Tier 1,5849,not visiting the app,173,customer66@example.com,11:00 AM - 10:00 PM,69,3,11644,0.546,0.814,0.175,0.779,Health,Tablet,fr_FR,3177.09,16.4,2.2,8,5,0.293,Re-engagement Push
CUST_100067,18,Tier 2,886,not adding to cart,84,customer67@example.com,9:00 PM - 9:00 PM,130,3,6362,0.286,0.862,0.048,0.656,Home & Kitchen,Mobile,es_ES,2212.91,8.6,9.4,7,15,0.974,Product Suggestion Push
CUST_100068,47,Tier 4,6218,not adding to cart,26,customer68@example.com,12:00 PM - 2:00 PM,309,12,17974,0.294,0.103,0.328,0.296,Health,Tablet,fr_FR,874.89,9.4,9.5,6,25,0.998,Browsing Behavior Email
CUST_100069,33,Tier 1,1429,wrote a bad review,98,customer69@example.com,9:00 AM - 1:00 AM,312,44,14458,0.035,0.067,0.779,0.366,Health,Tablet,en_US,3045.22,13.9,19.0,6,20,0.763,Manager Follow-up Call
CUST_100070,52,Tier 2,8874,not adding to cart,106,customer70@example.com,6:00 PM - 4:00 AM,14,48,6196,0.499,0.387,0.562,0.262,Home & Kitchen,Tablet,fr_FR,1112.12,12.6,14.2,8,10,0.123,Browsing Behavior Email
CUST_100071,20,Tier 4,3028,wrote a bad review,27,customer71@example.com,11:00 PM - 11:00 PM,364,5,18122,0.542,0.891,0.851,0.712,Beauty,Tablet,en_GB,3978.8,10.7,3.3,4,10,0.237,Proactive Chat Support
CUST_100072,47,Tier 1,6112,not adding to cart,124,customer72@example.com,9:00 AM - 10:00 AM,34,20,13146,1.0,0.719,0.526,0.769,Sports,Mobile,en_GB,4863.28,13.2,9.5,9,15,0.128,Personalized Email Recommendations
CUST_100073,51,Tier 2,2314,wrote a bad review,133,customer73@example.com,1:00 AM - 9:00 AM,156,11,5407,0.323,0.709,0.346,0.941,Home & Kitchen,Mobile,es_ES,1021.69,19.2,6.2,5,25,0.533,Proactive Chat Support
CUST_100074,48,Tier 2,9896,not visiting the app,48,customer74@example.com,11:00 PM - 10:00 AM,15,6,1589,0.949,0.771,0.265,0.211,Sports,Desktop,de_DE,3213.01,10.5,12.9,5,30,0.957,Win-back Campaign
CUST_100075,46,Tier 2,6853,not adding to cart,121,customer75@example.com,2:00 AM - 3:00 PM,213,31,15318,0.204,0.607,0.313,0.718,Beauty,Desktop,fr_FR,697.29,8.0,11.7,6,10,0.466,Browsing Behavior Email
CUST_100076,33,Tier 4,4261,not visiting the app,29,customer76@example.com,1:00 PM - 7:00 PM,128,11,10829,0.934,0.721,0.19,0.159,Sports,Desktop,fr_FR,4401.42,10.5,2.7,7,25,0.457,Re-engagement Push
CUST_100077,31,Tier 2,9757,not adding to cart,17,customer77@example.com,1:00 PM - 8:00 PM,147,35,367,0.847,0.431,0.882,0.728,Health,Desktop,en_US,2032.88,11.8,4.7,9,15,0.074,Personalized Email Recommendations
CUST_100078,48,Tier 4,9208,not adding to cart,164,customer78@example.com,11:00 AM - 3:00 AM,202,24,11211,0.558,0.366,0.144,0.602,Health,Tablet,en_US,274.25,3.6,7.3,8,25,0.457,Browsing Behavior Email
CUST_100079,54,Tier 2,5573,not adding to cart,46,customer79@example.com,7:00 PM - 10:00 PM,260,33,17543,0.49,0.563,0.475,0.017,Home & Kitchen,Tablet,en_US,4900.5,12.1,16.1,1,25,0.475,VIP Exclusive Offer
CUST_100080,57,Tier 2,1041,wrote a bad review,48,customer80@example.com,9:00 PM - 3:00 AM,17,37,3701,0.191,0.441,0.419,0.413,Fashion,Desktop,de_DE,3886.11,18.5,17.6,1,30,0.138,Manager Follow-up Call
CUST_100081,29,Tier 3,8037,wrote a bad review,85,customer81@example.com,3:00 PM - 9:00 PM,280,23,8762,0.61,0.192,0.247,0.558,Fashion,Desktop,es_ES,3539.26,14.1,10.3,8,15,0.56,Manager Follow-up Call
CUST_100082,33,Tier 3,2196,wrote a bad review,106,customer82@example.com,6:00 AM - 5:00 AM,148,46,2689,0.346,0.442,0.256,0.479,Fashion,Tablet,es_ES,4668.47,14.2,3.6,10,30,0.587,Personal Apology Email
CUST_100083,31,Tier 1,8900,not visiting the app,168,customer83@example.com,4:00 AM - 2:00 PM,170,46,15579,0.101,0.771,0.005,0.55,Fashion,Desktop,fr_FR,2413.37,4.8,19.3,6,15,0.646,Re-engagement Push
CUST_100084,21,Tier 2,8967,cart abandonment,49,customer84@example.com,7:00 AM - 1:00 PM,254,12,9585,0.877,0.009,0.568,0.107,Home & Kitchen,Desktop,fr_FR,4946.04,11.3,10.4,3,25,0.468,Abandoned Cart Email
CUST_100085,28,Tier 1,5617,not visiting the app,122,customer85@example.com,11:00 PM - 12:00 AM,8,48,11146,0.791,0.568,0.757,0.175,Beauty,Desktop,fr_FR,2600.64,2.6,13.7,3,10,0.477,Comeback Email Offer
CUST_100086,31,Tier 1,4472,wrote a bad review,65,customer86@example.com,8:00 PM - 6:00 PM,299,47,18872,0.011,0.654,0.693,0.062,Electronics,Desktop,es_ES,840.6,14.0,18.5,5,30,0.117,Feedback Email Survey
CUST_100087,34,Tier 3,3818,not visiting the app,39,customer87@example.com,8:00 AM - 8:00 PM,213,45,18097,0.913,0.757,0.802,0.826,Fashion,Tablet,de_DE,4372.02,2.6,9.5,6,5,0.917,VIP Retention Call
CUST_100088,23,Tier 1,9172,not visiting the app,151,customer88@example.com,9:00 AM - 3:00 PM,267,29,3908,0.68,0.717,0.489,0.899,Health,Mobile,fr_FR,703.12,8.9,11.7,9,20,0.673,Re-engagement Push
CUST_100089,35,Tier 1,6687,not adding to cart,5,customer89@example.com,12:00 AM - 10:00 AM,24,28,11389,0.7,0.541,0.06,0.894,Health,Mobile,es_ES,2073.89,15.6,15.6,7,15,0.993,Browsing Behavior Email
CUST_100090,40,Tier 4,6384,wrote a bad review,25,customer90@example.com,11:00 AM - 11:00 PM,61,12,17704,0.393,0.127,0.979,0.835,Electronics,Desktop,fr_FR,3383.82,11.3,11.1,4,10,0.461,Proactive Chat Support
CUST_100091,25,Tier 3,3288,cart abandonment,13,customer91@example.com,11:00 PM - 10:00 AM,124,14,2304,0.101,0.034,0.598,0.703,Electronics,Mobile,en_US,2041.21,5.5,5.1,1,10,0.504,Abandoned Cart Email
CUST_100092,34,Tier 2,9638,not adding to cart,152,customer92@example.com,10:00 PM - 4:00 PM,74,43,17180,0.221,0.301,0.061,0.949,Beauty,Mobile,fr_FR,2801.46,1.9,7.5,7,25,0.319,Browsing Behavior Email
CUST_100093,42,Tier 4,2644,not adding to cart,101,customer93@example.com,3:00 PM - 4:00 AM,154,46,4830,0.806,0.915,0.562,0.968,Sports,Tablet,en_GB,1972.67,5.8,7.3,2,20,0.847,Personalized Email Recommendations
CUST_100094,21,Tier 2,1044,not adding to cart,101,customer94@example.com,11:00 AM - 2:00 AM,301,47,18412,0.217,0.209,0.907,0.303,Electronics,Mobile,en_GB,4812.28,3.2,20.0,8,10,0.696,VIP Exclusive Offer
CUST_100095,29,Tier 4,4121,not adding to cart,77,customer95@example.com,7:00 PM - 9:00 PM,158,17,11884,0.513,0.497,0.099,0.981,Health,Desktop,en_GB,1884.99,8.9,11.7,4,30,0.146,Browsing Behavior Email
CUST_100096,32,Tier 4,5036,not visiting the app,55,customer96@example.com,6:00 AM - 7:00 AM,256,36,11161,0.257,0.822,0.967,0.642,Health,Desktop,en_GB,3677.22,7.7,3.7,9,20,0.184,Re-engagement Push
CUST_100097,50,Tier 1,8784,cart abandonment,24,customer97@example.com,11:00 AM - 1:00 PM,71,41,7683,0.068,0.151,0.219,0.456,Electronics,Tablet,de_DE,4568.12,13.5,1.3,9,25,0.411,VIP Exclusive Offer
CUST_100098,17,Tier 3,8977,not adding to cart,9,customer98@example.com,9:00 PM - 3:00 AM,50,34,4979,0.241,0.62,0.252,0.354,Health,Mobile,es_ES,4798.52,9.7,5.6,4,15,0.684,VIP Exclusive Offer
CUST_100099,21,Tier 1,1731,wrote a bad review,102,customer99@example.com,7:00 PM - 1:00 AM,360,11,2809,0.5,0.434,0.784,0.566,Electronics,Tablet,en_US,1187.34,18.1,14.2,10,20,0.271,Feedback Email Survey
CUST_100100,20,Tier 3,9097,cart abandonment,50,customer100@example.com,6:00 AM - 4:00 AM,365,26,2621,0.299,0.564,0.567,0.849,Beauty,Tablet,es_ES,1950.04,15.1,16.0,2,25,0.745,Push Notification Reminder
CUST_100101,38,Tier 1,1800,wrote a bad review,64,customer101@example.com,2:00 PM - 10:00 PM,168,2,9056,0.784,0.451,0.228,0.553,Health,Desktop,en_GB,3414.49,13.6,2.6,10,15,0.798,Manager Follow-up Call
CUST_100102,20,Tier 1,4590,not visiting the app,102,customer102@example.com,12:00 AM - 12:00 PM,163,24,3591,0.092,0.943,0.445,0.761,Electronics,Mobile,en_US,977.59,9.5,11.5,7,5,0.026,Re-engagement Push
CUST_100103,38,Tier 1,9980,not adding to cart,103,customer103@example.com,1:00 PM - 7:00 PM,44,47,18434,0.905,0.978,0.572,0.17,Health,Mobile,en_GB,1381.15,6.1,3.8,3,20,0.276,Personalized Email Recommendations
CUST_100104,35,Tier 4,1460,not adding to cart,69,customer104@example.com,4:00 PM - 10:00 AM,235,7,4539,0.305,0.949,0.332,0.62,Home & Kitchen,Desktop,es_ES,2181.55,16.6,13.4,10,10,0.3,Product Suggestion Push
CUST_100105,54,Tier 2,8048,not adding to cart,50,customer105@example.com,7:00 PM - 5:00 PM,295,16,10778,0.376,0.816,0.393,0.114,Sports,Mobile,de_DE,4986.46,4.4,15.6,1,30,0.462,Product Suggestion Push
CUST_100106,29,Tier 4,4973,cart abandonment,109,customer106@example.com,11:00 PM - 3:00 PM,124,17,5150,0.715,0.789,0.074,0.991,Health,Tablet,fr_FR,2695.12,18.5,17.5,7,25,0.037,Push Notification Reminder
CUST_100107,39,Tier 1,1991,not visiting the app,173,customer107@example.com,11:00 PM - 3:00 AM,289,42,13194,0.967,0.332,0.796,0.106,Electronics,Desktop,en_GB,2577.85,10.9,12.0,10,10,0.446,Comeback Email Offer
CUST_100108,41,Tier 4,9843,not visiting the app,93,customer108@example.com,1:00 PM - 2:00 PM,213,6,3903,0.831,0.73,0.348,0.343,Fashion,Tablet,fr_FR,1774.09,2.9,14.7,8,15,0.067,Re-engagement Push
CUST_100109,18,Tier 1,570,not adding to cart,170,customer109@example.com,2:00 AM - 12:00 AM,265,12,18184,0.16,0.56,0.958,0.232,Health,Tablet,en_GB,972.62,13.5,8.5,10,10,0.45,First Purchase Discount
CUST_100110,43,Tier 4,272,not visiting the app,57,customer110@example.com,5:00 AM - 10:00 AM,275,12,12086,0.326,0.458,0.262,0.863,Sports,Tablet,es_ES,3005.01,12.6,12.2,6,15,0.846,Win-back Campaign
CUST_100111,55,Tier 2,5073,cart abandonment,177,customer111@example.com,3:00 PM - 2:00 AM,157,8,6098,0.373,0.141,0.388,0.596,Sports,Desktop,fr_FR,969.48,13.1,14.2,3,25,0.167,Abandoned Cart Email
CUST_100112,34,Tier 2,3265,not adding to cart,120,customer112@example.com,10:00 AM - 6:00 AM,249,9,6493,0.815,0.964,0.505,0.495,Beauty,Desktop,fr_FR,3565.2,9.4,4.2,10,5,0.796,Personalized Email Recommendations
